Room ID,Room Number,Cost Center ID,Room Name,Room Function Notes,Notes,Area Import,Headwall Count,Bed Count,Bed Status,Air Tested,Floor Id
12796,6310B,6,1 BED_CCW_13,,,175,,,,,ALB_6
12808,1160C,296,STORAGE,,,36,,,,,ALB_1
12809,1003,451,CONFERENCE,,,163,,,,,ALB_1
12810,1181,87,STORAGE,was part of 1181,,30,,,,,ALB_1
11501,BCM 0-00,357,Common - dummy entry,keep this to make certain reports work,,0,,,,,ALB_8
11550,1101(2),307,OPEN OFFICE,,,927,,,,,ALB_1
3526,620,89,INSTRUMENTS,,,202,,,,NO,ALB_LL
3527,621,89,ANESTHESIA SUPPLY,,,213,,,,YES,ALB_LL
3528,622,89,WRAPPING,,,169,,,,NO,ALB_LL
3529,623,89,STORAGE - CARTS,,,34,,,,,ALB_LL
3530,624,89,SOILED UTILITY,,,105,,,,YES,ALB_LL
3531,625,89,SOILED UTILITY,,,409,,,,YES,ALB_LL
3532,626,89,PACU,,,972,,,,YES,ALB_LL
3533,627,89,DARK ROOM,,,55,,,,,ALB_LL
3534,628,89,CLEAN UTILITY,,,97,,,,YES,ALB_LL
3535,631,89,O R 1,was O R 1 - HEARTS,,711,,,,YES,ALB_LL
3536,632,89,O R 3,was O R 3 - CYSTO,,388,,,,YES,ALB_LL
3537,633,89,O R 12,,,402,,,,YES,ALB_LL
3538,634,89,STERILE CORE,,,764,,,,YES,ALB_LL
3539,635,89,O R 2,,,408,,,,YES,ALB_LL
3540,636,89,O R 4,,,409,,,,YES,ALB_LL
3541,637,89,O R 6,,,423,,,,YES,ALB_LL
3542,638,89,O R 7,,,555,,,,YES,ALB_LL
3543,651,89,NURSE STATION,,,153,,,,,ALB_LL
3544,652,89,LOUNGE,,,428,,,,,ALB_LL
3545,653,89,LOCKERS - MD,,,448,,,,,ALB_LL
3546,654,89,DRESSING - NURSES,,,409,,,,,ALB_LL
3547,655,89,OFFICE,,,200,,,,,ALB_LL
3548,661,89,FLAM LIQUID STORAGE,,,4,,,,,ALB_LL
3549,663,89,OFFICE,,,94,,,,,ALB_LL
3550,664,89,STORAGE,,,492,,,,,ALB_LL
3551,720,89,PATIENT WAITING,,,691,,,,,ALB_LL
3552,721,89,PRE OP HOLDING,,,572,,,,YES,ALB_LL
3553,722,89,DISCHARGE LOUNGE,,,270,,,,,ALB_LL
3554,723,89,PRE OP INTERVIEW,,,83,,,,NO,ALB_LL
3555,724,89,PRE OP INTERVIEW,,,57,,,,NO,ALB_LL
3556,730,451,DATA / TELE / ELEC,,,90,,,,,ALB_LL
3557,731,89,CHARTING,,,183,,,,,ALB_LL
3558,732,89,OFFICE,,,90,,,,,ALB_LL
3559,733,237,JANITOR,,,64,,,,,ALB_LL
3560,735,89,PRE OP INTERVIEW,,,100,,,,NO,ALB_LL
3561,736,89,DICTATION,,,62,,,,,ALB_LL
3562,737,89,PRE OP INTERVIEW,,,100,,,,NO,ALB_LL
3563,740,170,GASTRO PROCEDURE 1,,,242,,,,YES,ALB_LL
3564,741,170,GASTRO PROCEDURE 2,,,205,,,,YES,ALB_LL
3565,742,170,GASTRO PROCEDURE 3,,,184,,,,YES,ALB_LL
3566,743,89,OFFICE - GASTRO,,,129,,,,,ALB_LL
3567,744,170,SOILED UTILITY,,,203,,,,YES,ALB_LL
3568,746,89,TOILET,,,121,,,,,ALB_LL
3569,751,97,LOUNGE,,,253,,,,,ALB_LL
3570,752,97,LOCKERS,,,126,,,,,ALB_LL
3571,761,89,LOCKERS,,,97,,,,,ALB_LL
3572,762,89,DRESSING,,,170,,,,,ALB_LL
3573,764,89,PATIENT WAITING,,,116,,,,,ALB_LL
3574,765,89,TOILET,,,48,,,,,ALB_LL
3575,766,89,CLEAN UTILITY,,,139,,,,YES,ALB_LL
3576,767,97,TOILET,,,24,,,,,ALB_LL
3577,768,97,TOILET,,,28,,,,,ALB_LL
3578,780,97,O R 17,,,287,,,,YES,ALB_LL
3579,781,89,OFFICE,,,170,,,,,ALB_LL
3580,782,97,O R 16,,,372,,,,YES,ALB_LL
3581,783,97,O R 15,,,309,,,,YES,ALB_LL
3582,784,97,O R 14,,,308,,,,YES,ALB_LL
3583,785,97,SOILED UTILITY,,,108,,,,YES,ALB_LL
3584,786,97,CLEAN UTILITY,,,112,,,,YES,ALB_LL
3585,787,89,LAB - INVITRO,,,165,,,,NO,ALB_LL
3586,788,89,TRANSFER ROOM,,,93,,,,NO,ALB_LL
3587,789,89,LAB - HUMAN EGG,,,166,,,,NO,ALB_LL
3588,790,89,O R 8,,,590,,,,YES,ALB_LL
3589,794,89,O R 9,,,664,,,,YES,ALB_LL
3590,900,77,OFFICE,,,121,,,,,ALB_LL
3591,901,77,SIMULATOR,,,290,,,,,ALB_LL
3592,902,77,DARK ROOM,,,82,,,,,ALB_LL
3593,903,77,TOILET,,,53,,,,,ALB_LL
3594,904,77,EXAM,,,104,,,,,ALB_LL
3595,905,77,EXAM,,,116,,,,,ALB_LL
3596,906,77,LINEAR ACCELERATOR,,,529,,,,YES,ALB_LL
3597,907,77,CONTROL,,,325,,,,,ALB_LL
3598,908,77,DRESSING,,,332,,,,,ALB_LL
3599,910,89,SEC / RECEPT / FILES,,,153,,,,,ALB_LL
3600,911,89,OFFICE - MD / RN,,,216,,,,,ALB_LL
3601,912,77,OFFICE,,,75,,,,,ALB_LL
3602,914,89,OFFICE - MD,,,102,,,,,ALB_LL
3603,915,77,OFFICE,,,93,,,,,ALB_LL
3604,916,89,OFFICE,,,333,,,,,ALB_LL
3605,625A,89,PRE OP,,,99,,,,NO,ALB_LL
3606,631A,89,SCRUB,,,15,,,,NO,ALB_LL
3607,631S,89,STERILIZER,,,17,,,,YES,ALB_LL
3608,632A,89,X-RAY CTRL,,,15,,,,,ALB_LL
3609,633A,89,SCRUB,,,48,,,,NO,ALB_LL
3610,633S,89,STERILIZER,,,32,,,,YES,ALB_LL
3611,635A,89,SCRUB,,,25,,,,NO,ALB_LL
3612,635S,89,STERILIZER,,,24,,,,YES,ALB_LL
3613,637A,89,SCRUB,,,48,,,,NO,ALB_LL
3614,637S,89,STERILIZER,,,47,,,,YES,ALB_LL
3615,638A,89,SCRUB,,,25,,,,NO,ALB_LL
3616,638S,89,STERILIZER,,,10,,,,YES,ALB_LL
3617,651A,89,OFFICE,,,84,,,,,ALB_LL
3618,651B,89,OFFICE,,,55,,,,,ALB_LL
3619,653A,89,TOILET,,,137,,,,,ALB_LL
3620,653B,89,SHOWER,,,22,,,,,ALB_LL
3621,656B,237,JANITOR,,,42,,,,,ALB_LL
3622,654A,89,TOILET,,,129,,,,,ALB_LL
3624,655A,89,TOILET,,,66,,,,,ALB_LL
3625,655B,451,DATA,,,27,,,,,ALB_LL
3626,716,89,STORAGE - TANKS,,,14,,,,,ALB_LL
3627,719,89,STORAGE - NITROGEN,,,18,,,,NO,ALB_LL
3628,720A,89,TOILET,,,48,,,,,ALB_LL
3629,720B,89,TOILET,,,38,,,,,ALB_LL
3630,723A,89,TOILET,,,28,,,,,ALB_LL
3631,741A,170,TOILET,,,33,,,,,ALB_LL
3632,742A,170,TOILET,,,32,,,,,ALB_LL
