Room ID,Room Number,Cost Center ID,Room Name,Room Function Notes,Notes,Area Import,Headwall Count,Bed Count,Bed Status,Air Tested,Floor Id
11502,BCM 0-00,357,Common - dummy entry,keep this to make certain reports work,,0,,,,,HER_6
11551,3369,78,GROUP ROOM,,,478,,,,,HER_3
11552,3371,78,GROUP ROOM,,,472,,,,,HER_3
11566,142(2),136,STORAGE - FILM,,,135,,,,,HER_LL
7378,FCM 214A,357,TOILET - WOMENS,,,145,,,,,HER_LL
7379,FCM 214B,357,TOILET - MENS,,,132,,,,,HER_LL
7381,321,188,TOILET,,,81,,,,,HER_LL
7382,325,188,STORAGE,,,83,,,,,HER_LL
7383,336C,267,VESTIBULE,,,123,,,,,HER_LL
7384,339,267,STORAGE,,,147,,,,,HER_LL
7385,FCM 340,357,TOILET - MENS,,,118,,,,,HER_LL
7386,FCM 341,357,TOILET - WOMENS,,,100,,,,,HER_LL
7387,1159,77,STORAGE,,,14,,,,,HER_1
7388,BCM 1191,357,TOILET - MENS ADA,,,57,,,,,HER_1
7389,BCM 1192,357,TOILET - WOMENS ADA,,,60,,,,,HER_1
7390,1268,77,TOILET,,,40,,,,,HER_1
7391,1310,401,OFFICE,,,139,,,,,HER_1
7392,1311,401,STORAGE,,,90,,,,,HER_1
7394,1313,401,STORAGE,,,111,,,,,HER_1
7395,1314,475,RESEARCH,,,1463,,,,NO,HER_1
7396,1315,475,OFFICE,,,130,,,,,HER_1
7397,1318,475,STORAGE,,,44,,,,,HER_1
7398,1319,475,TREATMENT,,,143,,,,,HER_1
7399,1320,475,TREATMENT,,,119,,,,,HER_1
7400,1321,475,TREATMENT,,,130,,,,,HER_1
7401,1322,475,TREATMENT,,,63,,,,,HER_1
7402,1323,475,TREATMENT,,,147,,,,,HER_1
7403,1324,475,TANK ROOM,,,101,,,,,HER_1
7404,1326,475,TANK ROOM,,,83,,,,,HER_1
7405,FCM 1362A,357,TOILET (NOT ADA),,,59,,,,,HER_1
7406,1363,401,RECEPTION,,,422,,,,,HER_1
7407,1363A,401,OFFICE,,,47,,,,,HER_1
7408,1363-1,401,OFFICE,,,115,,,,,HER_1
7409,1363-2,401,OFFICE,,,83,,,,,HER_1
7410,1363-3,401,OFFICE,,,96,,,,,HER_1
7411,1363-4,401,STORAGE,,,82,,,,,HER_1
7412,1363-5,401,WAITING,,,53,,,,,HER_1
7413,1363-6,401,NUTRITION,,,99,,,,,HER_1
7414,1363-7,401,JANITOR,,,43,,,,,HER_1
7415,1363-8,401,MED RECORDS,,,267,,,,,HER_1
7416,1372,401,OFFICE,,,184,,,,,HER_1
7417,1373,307,TOILET - STAFF,,,125,,,,,HER_1
7418,1376,307,TOILET - STAFF,,,166,,,,,HER_1
7419,1381,401,OFFICE (2 BEDS),2 BEDS per Diane 10/16/2014,,202,,,,,HER_1
7420,1381A,401,TOILET,,,31,,,,,HER_1
7421,1382,401,OFFICE,,,188,,,,,HER_1
7422,1382A,401,TOILET,,,43,,,,,HER_1
7423,1383,401,COPY / SUPPLY,,,91,,,,,HER_1
7424,1384,401,OFFICE,2 BEDS,,242,,,,,HER_1
7425,1384A,401,TOILET,,,36,,,,,HER_1
7426,1385,401,TOILET - STAFF,,,92,,,,,HER_1
7427,1385A,401,STORAGE,,,24,,,,,HER_1
7428,1386,401,LOUNGE - STAFF,,,141,,,,,HER_1
7429,1387,401,WAITING,,,248,,,,,HER_1
7430,1387A,401,TOILET,,,46,,,,,HER_1
