Room ID,Room Number,Cost Center ID,Room Name,Room Function Notes,Notes,Area Import,Headwall Count,Bed Count,Bed Status,Air Tested,Floor Id
12789,BCM 0-00,357,Common - dummy entry,keep this to make certain reports work,,0,,,,,MER_8
12790,BCM 0-00,357,Common - dummy entry,keep this to make certain reports work,,0,,,,,MER_9
12791,BCM 0-00,357,Common - dummy entry,keep this to make certain reports work,,0,,,,,MER_10
12792,BCM 0-00,357,Common - dummy entry,keep this to make certain reports work,,0,,,,,MER_11
12793,BCM 0-00,357,Common - dummy entry,keep this to make certain reports work,,0,,,,,MER_12
12795,2344,632,TOILET,,,35,,,,,MER_2
12798,NRT L-11,2,NRT,,,139,,,,,MER_LL
12799,NRT 3-31,2,NRT,,,58,,,,,MER_3
12800,NRT 3-32,2,NRT,,,47,,,,,MER_3
12801,NRT 3-34,2,NRT,,,105,,,,,MER_3
12802,NRT 3-35,2,NRT,,,96,,,,,MER_3
12803,NRT 3-33,2,NRT,,,9,,,,,MER_3
12804,NRT G-35,2,STAIR,,,284,,,,,MER_GL
12805,NRT 1-20,2,STAIR,,,386,,,,,MER_1
12806,NRT 1-35,2,NRT,,,255,,,,,MER_1
12807,NRT 1-21,2,NRT,,,171,,,,,MER_1
11503,BCM 0-00,357,Common - dummy entry,keep this to make certain reports work,,0,,,,,MER_7
11554,BCM 0-00,357,Common - dummy entry,keep this to make certain reports work,,0,,,,,MER_6
11555,NRT 1-19,2,NRT,LINKS ADDITION - was 56 SF,,0,,,,,MER_1
11556,5196,19,STORAGE,,,103,,,,,MER_5
11557,NRT L-10,2,NRT,LINKS ADDITION,,195,,,,,MER_LL
11559,NRT L-12,2,STAIR,LINKS ADDITION,,256,,,,,MER_LL
11561,NRT 3-25,2,NRT,LINKS ADDITION,,27,,,,,MER_3
11563,4189,228,MECH,,,98,,,,,MER_4
11564,4187,5,STORAGE,ASK DIANE: ROOM 4709 ??,,131,,,,,MER_4
